firm_name,firm_name_id,firm_id_linkedin
BEEcube Inc.,36407,beecube-inc-
BEST Education Partners,36480,
BEVL,36513,bevl
BHMS Ventures,36680,
BIOptima Advisors,36847,
"BITS, Inc.",36888,bits
"BIYA Global, Inc.",36895,2267032
BLOGIC,37076,
BLUE1647,37124,blue1647
BMAT,37164,bmat
BOB.tv,37415,2685943
BP Capital,37561,
BP plc,37588,bp
"BPONG, LLC",37649,bpong-llc
BRC,37741,
BRIDGEi2i Analytics Solutions,37796,bridgei2i-analytics-solutions
BT Radianz,38003,bt-for-financial-services
BTC,38019,162823
BUILDUP,38107,buildup-fund-inc
BUSINESS DATA SOLUTIONS,38144,
BUST Magazine,38152,683615
Baby Boot Camp,38389,baby-boot-camp
